term	idf
der umsatzsteuer	6.857457
der umsetzung	4.737193
der umstand	6.857457
der umwelt	6.251321
der un	5.215229
der und	6.944468
der union	3.461831
der unionsfraktion	5.137671
der universität	6.509150
der uns	5.248019
der unsere	6.346631
der unsicherheit	6.569775
der untergang	6.944468
der unternehmen	5.317012
der unternehmensteuer	6.857457
der unternehmer	6.857457
der unterschied	5.137671
der unterstützung	5.816003
der us	5.678802
der usa	5.299312
der verabschiedung	6.703306
der verantwortung	4.546573
der verbraucher	6.397925
der verbraucherinnen	6.346631
der verbraucherschutz	6.451992
der verdacht	6.509150
der vereinigten	6.397925
der vereinten	4.998558
der verfassung	6.346631
der verfassungsbeschwerde	6.569775
der verfassungsschutz	6.509150
der vergabe	6.569775
der vergangenen	4.669535
der vergangenheit	3.917413
der verhältnismäßigkeit	6.634313
der verkehrsinfrastruktur	6.451992
der verkehrsminister	6.634313
der verkehrspolitik	6.346631
der verlust	6.777414
der verlängerung	6.297841
der vermieter	6.634313
der vernunft	6.010159
der versorgung	5.845856
der versuch	6.010159
der verteidigung	5.941166
der verteidigungsetat	6.944468
der verteidigungsfähigkeit	6.944468
der verteidigungsminister	6.944468
der verwaltung	5.471162
der vielen	5.787015
der vielfalt	6.857457
der vielleicht	6.944468
der vier	6.251321
der vizekanzler	6.944468
der vom	6.251321
der von	4.865027
der vor	6.206869
der vorgängerregierung	5.908376
der vorherigen	6.451992
der vorliegende	4.757396
der vorliegenden	6.857457
der vorläufigen	6.857457
der vorschlag	5.941166
der vorwurf	6.857457
der waffe	6.857457
der wahl	4.960337
der wahlperiode	6.164310
der wahre	6.857457
der wahrheit	5.816003
der weg	4.614976
der wehrpflicht	5.975068
der weiß	6.010159
der welt	3.276255
der wenigen	6.703306
der westbank	6.777414
der wettbewerbsfähigkeit	6.206869
der wichtigste	6.346631
der wichtigsten	5.604694
der wie	6.944468
der wiederaufbau	6.944468
der wiedervereinigung	5.787015
der wille	6.346631
der wind	6.297841
der wir	4.372550
der wird	5.787015
der wirklich	6.703306
der wirklichkeit	6.397925
der wirtschaft	4.132877
der wirtschaftliche	6.703306
der wirtschaftlichen	5.430340
der wirtschaftspolitik	6.569775
der wissenschaft	5.391120
der woche	6.397925
der wohlstand	6.297841
der wohnungsbau	6.944468
der wohnungsmarkt	6.944468
der wunsch	6.857457
der wurzel	6.944468
der wähler	6.010159
der wärmewende	6.944468
der würde	6.634313
der zahl	6.164310
der zeigt	6.569775
der zeit	4.325084
der zeitenwende	6.297841
der zeitung	6.857457
der zentrale	6.251321
der zentralen	5.845856
der zerstörung	6.451992
der zivilbevölkerung	6.297841
der zivilen	6.703306
der zivilgesellschaft	5.471162
der zu	5.908376
der zug	6.944468
der zugang	5.975068
der zugehörigkeit	6.451992
der zukunft	4.248613
der zukünftigen	6.857457
der zunge	6.084267
der zur	6.944468
der zusammenarbeit	6.206869
der zustand	6.777414
der zweite	4.998558
der zweiten	5.535701
der zwischenzeit	6.703306
der älteren	6.944468
der änderung	6.509150
der ärmsten	6.777414
der öffentliche	6.944468
der öffentlichen	4.809764
der öffentlichkeit	5.299312
der über	6.777414
der überschrift	6.297841
der überzeugung	6.251321
derart	6.046527
derartige	6.297841
deregulierung	6.206869
deren	3.434281
derer	5.264826
derer die	5.513722
derjenige	5.845856
derjenige der	6.164310
derjenigen	5.430340
derjenigen die	5.787015
derselben	6.206869
derweil	6.509150
derya	6.857457
derya türk	6.857457
derzeit	4.009645
derzeit in	6.703306
derzeitige	6.634313
derzeitigen	5.581163
des abgeordneten	5.816003
des antrags	6.010159
des artikels	6.346631
des assad	6.857457
des aufbruchs	6.777414
des aufenthaltsgesetzes	6.944468
des auswärtigen	5.335030
des außenministers	6.703306
des bip	6.397925
des bisherigen	6.703306
des bka	6.944468
des bmi	6.206869
des bmz	6.251321
des bruttoinlandsprodukts	6.451992
des bundes	4.171880
des bundesaufnahmeprogramms	6.397925
des bundesfinanzministers	6.857457
des bundeshaushaltes	5.975068
des bundeshaushalts	5.787015
des bundesinnenministeriums	6.703306
des bundeskanzlers	5.471162
des bundesministeriums	5.231490
des bundespolizeigesetzes	6.944468
des bundesrates	6.569775
des bundesrechnungshofes	6.509150
des bundesrechnungshofs	6.944468
des bundestages	5.628791
des bundestags	6.944468
des bundesverfassungsgerichts	5.758845
des bürgergeldes	6.634313
des bürokratieabbaus	6.634313
des demografischen	6.944468
des deutschen	4.079673
des deutschlandtickets	6.206869
des digitalen	6.944468
des eigenen	6.346631
des einsatzes	6.451992
des einzelnen	6.569775
des einzelplans	5.731446
des eisbergs	6.857457
des ersten	6.634313
des eu	6.634313
des europarats	6.857457
des europäischen	5.816003
des familiennachzugs	5.450543
des friedens	5.758845
des ganzen	6.451992
des geldes	6.703306
des gemeinsamen	6.777414
des gesamten	5.391120
des gesetzentwurfes	6.944468
des gesetzentwurfs	6.397925
des gesetzes	5.152709
des gesundheitssystems	6.777414
des globalen	6.251321
des grundgesetzes	4.947914
des hauses	5.581163
des haushaltes	6.451992
des haushalts	5.353379
des haushaltsausschusses	6.206869
des herrn	6.634313
des hohen	6.944468
des innenministeriums	6.703306
des innern	6.123488
des internationalen	6.084267
des jahres	5.372072
des jahrhunderts	6.164310
des kalten	6.451992
des kanzlers	6.297841
des klima	6.944468
des klimas	6.777414
des klimaschutzes	6.123488
des klimawandels	5.513722
des koalitionsvertrages	5.876628
des koalitionsvertrags	6.703306
des kollegen	6.164310
des kremls	6.857457
des krieges	5.248019
des küstenschutzes	6.703306
des landes	4.688403
des lebens	6.346631
des letzten	6.634313
des ländlichen	6.777414
des mandats	5.975068
des marktes	6.777414
des menschen	5.975068
des militärischen	6.634313
des ministeriums	5.678802
des ministers	6.857457
des monats	5.941166
des nationalen	6.634313
des nationalsozialismus	6.206869
des nato	6.569775
des neuen	5.941166
des ovg	6.569775
des parlamentarischen	6.857457
des parlaments	5.731446
des politischen	6.297841
des preises	6.857457
des problems	5.704777
des programms	6.777414
des präsidenten	6.297841
des rechts	5.876628
des rechtsstaates	6.046527
des rechtsstaats	6.251321
des rentenniveaus	6.164310
des respekts	6.944468
des russischen	6.164310
des sogenannten	5.975068
des sondervermögens	5.353379
des sozialen	6.634313
des sozialstaates	6.206869
des sozialstaats	6.857457
des sports	6.944468
des staates	4.490333
des standortes	6.509150
des standorts	6.777414
des steuerzahlers	6.777414
des stärkeren	5.941166
des systems	6.777414
des tages	5.678802
des terrors	6.944468
des un	6.634313
des unrechts	6.777414
des verfassungsschutzes	6.703306
des vertrauens	6.944468
des vertrauensschutzes	6.569775
des volkes	6.703306
des völkerrechts	6.010159
des weiteren	6.346631
des westens	6.703306
des wirtschaftsministeriums	6.944468
des wirtschaftsstandortes	6.397925
des wortes	6.123488
des zweiten	5.787015
des öffentlichen	6.634313
des überbrückungsprogramms	6.509150
desaster	6.010159
desaströsen	6.944468
deshalb	1.988001
deshalb an	6.944468
deshalb auch	5.604694
deshalb auf	6.857457
deshalb bin	5.678802
deshalb bitte	6.251321
deshalb brauchen	5.299312
deshalb braucht	6.046527
deshalb darf	6.944468
deshalb das	6.944468
deshalb den	6.509150
deshalb die	5.731446
deshalb dürfen	6.777414
deshalb ein	6.346631
deshalb eine	6.509150
deshalb fordern	5.787015
deshalb freue	6.634313
deshalb geht	6.634313
deshalb gehört	6.944468
deshalb gibt	6.777414
deshalb gilt	5.941166
deshalb habe	6.634313
deshalb haben	4.778015
deshalb hat	6.451992
deshalb in	6.857457
deshalb investieren	6.509150
deshalb ist	3.531223
deshalb kann	6.206869
deshalb kommt	6.944468
deshalb können	6.703306
deshalb lassen	6.857457
deshalb lehnen	5.353379
deshalb liebe	6.569775
deshalb machen	6.944468
deshalb meine	6.084267
deshalb muss	5.653484
deshalb möchte	5.941166
deshalb müssen	4.788487
deshalb nicht	6.451992
deshalb sage	5.513722
deshalb sagen	5.604694
deshalb sehr	6.569775
deshalb setzen	5.941166
deshalb sind	5.628791
deshalb so	6.703306
deshalb sollten	6.509150
deshalb stehen	6.857457
deshalb steht	6.857457
deshalb unterstützen	6.451992
deshalb von	6.777414
deshalb war	6.451992
deshalb weil	6.123488
deshalb werden	5.122856
deshalb will	6.777414
deshalb wird	5.941166
deshalb wollen	5.908376
desinformation	5.335030
desinformation und	6.944468
desinformationen	6.346631
desinformationskampagnen	6.297841
desiree	6.944468
desiree becker	6.944468
dessen	3.808974
dessen was	5.264826
destabilisieren	6.206869
destabilisierung	6.397925
desto	5.492216
deswegen	2.222728
deswegen auch	6.164310
deswegen bin	5.558174
deswegen bitte	6.634313
deswegen bleibt	6.944468
deswegen brauchen	5.391120
deswegen braucht	6.346631
deswegen die	6.634313
deswegen ein	6.297841
deswegen finde	6.509150
deswegen fordern	6.777414
deswegen freue	6.857457
deswegen gehen	6.703306
deswegen geht	6.703306
deswegen gibt	6.451992
deswegen gilt	6.297841
deswegen glaube	6.777414
deswegen habe	6.857457
deswegen haben	4.820575
deswegen hat	6.010159
deswegen herr	6.944468
deswegen investieren	6.634313
deswegen ist	3.580312
deswegen kann	6.046527
deswegen können	6.297841
deswegen lassen	6.206869
deswegen lehnen	5.941166
deswegen liebe	6.251321
deswegen machen	6.569775
deswegen meine	6.346631
deswegen muss	5.199229
deswegen möchte	5.628791
deswegen müssen	4.747244
deswegen nicht	6.777414
deswegen sage	5.450543
deswegen sagen	6.046527
deswegen setzen	6.857457
deswegen sind	5.299312
deswegen sollten	6.857457
deswegen unterstützen	6.944468
deswegen war	6.509150
deswegen weil	6.703306
deswegen werden	5.011630
deswegen will	5.558174
deswegen wir	6.944468
deswegen wird	5.941166
deswegen wollen	5.787015
deswegen wäre	6.777414
detail	5.281920
detailliert	6.944468
details	5.816003
detlef	6.346631
detlef seif	6.346631
detzer	6.703306
deutlich	2.376339
deutlich an	6.634313
deutlich besser	6.509150
deutlich das	6.509150
deutlich dass	5.471162
deutlich die	5.758845
deutlich es	6.944468
deutlich gemacht	4.546573
deutlich gesagt	6.297841
deutlich geworden	6.046527
deutlich gezeigt	6.944468
deutlich höher	6.703306
deutlich ich	6.777414
deutlich in	6.857457
deutlich machen	5.248019
deutlich macht	6.777414
deutlich mehr	4.972916
deutlich sagen	4.660232
deutlich schneller	6.703306
deutlich und	6.509150
deutlich weniger	6.509150
deutlich wenn	6.944468
deutlich wie	6.569775
deutlich wir	5.678802
deutlich wird	6.569775
deutlich zu	4.960337
deutlich über	6.569775
deutliche	5.051904
deutlichen	5.758845
deutlicher	5.299312
deutliches	5.975068
deutliches signal	6.634313
deutlichkeit	5.051904
deutlichkeit sagen	6.451992
deutsch	4.588773
deutsch polnischen	6.944468
deutsche	2.474389
deutsche automobilindustrie	6.944468
deutsche außenpolitik	6.123488
deutsche bahn	5.653484
deutsche bevölkerung	6.703306
deutsche bundesregierung	6.857457
deutsche bundestag	5.183480
deutsche einheit	6.010159
deutsche industrie	6.634313
deutsche institut	6.944468
deutsche interessen	5.704777
deutsche landwirtschaft	6.777414
deutsche soldaten	6.297841
deutsche staatsbürger	6.703306
deutsche staatsbürgerschaft	6.703306
deutsche steuerzahler	6.634313
deutsche und	5.845856
deutsche unternehmen	5.941166
deutsche volk	6.123488
deutsche wirtschaft	4.865027
deutschem	5.492216
deutschem boden	6.944468
deutschem steuergeld	6.634313
deutschen	2.227594
deutschen außenpolitik	6.397925
deutschen bahn	5.941166
deutschen bevölkerung	6.634313
deutschen bundesregierung	6.944468
deutschen bundestag	3.729235
deutschen bundestages	4.888016
deutschen bürger	6.777414
deutschen die	6.777414
deutschen einheit	6.164310
deutschen geschichte	6.777414
deutschen grenze	6.634313
deutschen grenzen	6.509150
deutschen haben	6.944468
deutschen industrie	6.397925
deutschen interesse	5.975068
deutschen interessen	5.845856
deutschen pass	6.297841
deutschen steuerzahler	5.876628
deutschen und	5.908376
deutschen unternehmen	6.703306
deutschen volk	6.569775
deutschen volke	6.944468
deutschen volkes	6.046527
deutschen wirtschaft	5.038298
deutscher	3.962466
deutscher außenpolitik	6.857457
deutscher interessen	6.944468
deutsches	4.809764
deutsches recht	6.164310
deutsches steuergeld	6.010159
deutschland aber	5.558174
deutschland als	5.335030
deutschland am	5.975068
deutschland an	5.628791
deutschland angekommen	6.451992
deutschland arbeiten	6.857457
deutschland auch	5.183480
deutschland auf	5.471162
deutschland aufgenommen	6.451992
deutschland aus	5.758845
deutschland bei	5.975068
deutschland bleiben	6.703306
deutschland bleibt	6.084267
deutschland brauchen	6.944468
deutschland braucht	4.899712
deutschland da	6.857457
deutschland damit	6.569775
deutschland darf	6.569775
deutschland das	4.365630
deutschland dass	6.297841
deutschland den	5.908376
deutschland denn	6.569775
deutschland der	5.581163
deutschland deswegen	6.703306
deutschland die	4.365630
deutschland diese	6.634313
deutschland durch	6.569775
deutschland ein	4.660232
deutschland eine	5.231490
deutschland einen	6.164310
deutschland endlich	6.164310
deutschland es	5.941166
deutschland für	5.335030
deutschland geht	6.634313
deutschland gekommen	6.346631
deutschland gemeinsam	6.397925
deutschland gibt	5.558174
deutschland haben	5.231490
deutschland hat	4.273459
deutschland herr	6.777414
deutschland heute	6.346631
deutschland hier	6.251321
deutschland ich	5.845856
deutschland ihre	6.777414
deutschland im	5.038298
deutschland immer	5.941166
deutschland in	4.267190
deutschland investieren	6.944468
deutschland investiert	6.857457
deutschland ist	3.658784
deutschland jetzt	6.251321
deutschland kann	5.353379
deutschland kein	6.944468
deutschland kommen	5.231490
deutschland kommt	6.944468
deutschland leben	6.397925
deutschland liebe	6.451992
deutschland liegen	6.451992
deutschland machen	6.857457
deutschland mehr	6.944468
deutschland meine	6.251321
deutschland mit	5.231490
deutschland muss	5.065697
deutschland nach	5.876628
deutschland nicht	4.482551
deutschland nichts	6.944468
deutschland noch	5.908376
deutschland nur	6.509150
deutschland oder	6.703306
deutschland sagen	6.857457
deutschland schon	6.397925
deutschland sehr	6.703306
deutschland sein	6.944468
deutschland seine	6.857457
deutschland seit	6.703306
deutschland sich	6.509150
deutschland sicher	6.251321
deutschland sie	5.678802
deutschland sind	5.248019
deutschland so	6.206869
deutschland soll	6.509150
deutschland sondern	6.397925
deutschland stehen	6.944468
deutschland steht	5.215229
deutschland trägt	6.569775
deutschland um	6.397925
deutschland und	3.546306
deutschland unter	6.857457
deutschland vielen	5.678802
deutschland von	6.046527
deutschland vor	6.123488
deutschland voran	5.704777
deutschland voranbringen	5.908376
deutschland voranzubringen	6.509150
deutschland war	6.451992
deutschland weil	6.569775
deutschland weiter	6.046527
deutschland wenn	6.397925
deutschland werden	6.010159
deutschland wieder	4.365630
deutschland will	6.944468
deutschland wir	4.853727
deutschland wird	5.065697
deutschland wirklich	6.634313
deutschland zahlt	6.777414
deutschland zu	4.279768
deutschland zuerst	6.857457
deutschland zum	6.509150
deutschland über	6.206869
deutschland übernimmt	6.569775
deutschlandfonds	6.123488
deutschlands	3.280907
deutschlands als	6.297841
deutschlands das	6.857457
deutschlands für	6.944468
deutschlands in	5.876628
deutschlands ist	6.777414
deutschlands mit	6.944468
deutschlands nicht	6.703306
deutschlands sicherheit	6.944468
deutschlands und	5.876628
deutschlands zu	6.857457
deutschlands zukunft	6.703306
deutschlandticket	4.865027
deutschlandticket ist	6.777414
deutschlandticket und	6.857457
deutschlandticket wird	6.777414
deutschlandtickets	6.164310
deutschlandweit	6.010159
devise	6.569775
dezember	4.960337
dezentrale	6.703306
dgb	6.777414
diabetes	6.703306
diagnose	6.777414
dialog	5.199229
dialog mit	6.777414
diana	6.297841
diana herbstreuth	6.944468
diana zimmer	6.944468
dich	5.876628
dicht	6.206869
die aber	5.471162
die abgaben	6.777414
die abgeordnete	3.926263
die abgeordneten	5.816003
die abhängigkeit	5.816003
die abschaffung	4.546573
die abschiebung	6.634313
die absenkung	6.206869
die absicht	6.509150
die absolute	6.857457
die abstimmung	5.908376
die achtung	6.777414
die adresse	6.569775
die afd	2.099566
die agenda	6.123488
die agrardieselrückvergütung	6.944468
die akteure	6.703306
die aktivrente	5.353379
die aktuell	6.451992
die aktuelle	4.737193
die aktuellen	5.513722
die akzeptanz	5.653484
die alle	5.731446
die alleinerziehende	6.397925
die allermeisten	5.908376
die alles	6.703306
die allgemeine	6.857457
die allgemeinheit	6.569775
die als	5.335030
die alte	5.353379
die alten	5.975068
die alternative	4.998558
die altersarmut	6.777414
die altparteien	6.084267
die am	4.853727
die amadeu	6.777414
die amerikaner	5.941166
die amerikanische	6.857457
die ampel	4.697973
die ampelkoalition	6.777414
die ampelregierung	6.010159
die an	4.737193
die analyse	6.777414
die andere	5.248019
die anderen	4.530179
die anerkennung	5.731446
die angeblich	6.397925
die angriffe	6.084267
die angst	5.492216
die anhebung	6.777414
die anhörung	6.857457
die anliegen	6.857457
die anpassung	6.397925
die anreize	6.857457
die anstehenden	6.346631
die antifa	6.451992
die antragsteller	6.944468
die anträge	5.628791
die antwort	4.554872
die antworten	6.297841
die anwendung	6.251321
die anzahl	5.731446
die arbeit	4.212465
die arbeiten	5.653484
die arbeitende	6.397925
die arbeitenden	6.857457
die arbeiter	6.944468
die arbeitgeber	6.251321
die arbeitnehmer	6.123488
die arbeitnehmerinnen	6.397925
die arbeitsbedingungen	6.509150
die arbeitslosigkeit	6.703306
die arbeitsplätze	5.231490
die arbeitszeit	6.634313
die argumente	6.777414
die arme	5.845856
die armut	6.703306
die art	6.123488
die asylzahlen	6.944468
die attraktivität	6.046527
die auch	4.400721
die auf	4.084868
die aufarbeitung	6.777414
die aufgabe	4.778015
die aufgaben	5.941166
die aufgrund	6.634313
die aufhebung	6.451992
die aufklärung	6.451992
die aufmerksamkeit	4.273459
die aufnahme	5.492216
die aufstockung	6.857457
die augen	5.011630
die aus	4.876455
die ausbildung	5.731446
die ausgaben	4.809764
die ausgangslage	6.944468
die ausnahme	6.206869
die ausnahmen	6.944468
die ausrichtung	6.944468
die ausrüstung	6.944468
die aussage	6.634313
die aussagen	6.509150
die aussetzung	5.581163
die aussprache	6.857457
die ausstattung	6.251321
die ausweitung	6.251321
die auswirkungen	5.816003
die autobahn	6.944468
die automobilindustrie	5.731446
die außenpolitik	6.634313
die axt	5.845856
die bagger	6.046527
die bahn	4.888016
die balance	6.569775
die basis	5.975068
die bauern	6.634313
die baukosten	6.046527
die bauwirtschaft	6.703306
die beamten	6.569775
die bedarfe	6.944468
die bedeutung	5.758845
die bedingungen	6.206869
die bedrohten	6.569775
die bedrohung	5.845856
die bedrohungen	6.777414
die bedrohungslage	5.845856
die bedürfnisse	6.397925
die beendigung	6.857457
die befristung	6.944468
die befugnisse	6.084267
die begründung	6.397925
die behandlung	6.857457
die behauptung	6.084267
die behörden	5.876628
die bei	4.947914
die beiden	5.513722
die beine	6.084267
die beitrags	6.944468
die beitragsbemessungsgrenze	6.777414
die beitragssätze	6.944468
die beitragszahler	6.634313
die beiträge	5.450543
die bekämpfung	5.678802
die belange	6.346631
die belastung	6.206869
die belastungen	6.857457
die bemühungen	5.975068
die bepreisung	6.010159
die beratung	6.857457
die beratungen	4.888016
die bereiche	6.297841
die bereichsausnahme	6.084267
die bereit	6.509150
die bereits	5.215229
die bereitschaft	6.084267
die berliner	6.569775
die berufliche	6.634313
die beschaffung	6.084267
die beschleunigung	6.569775
die beschlossenen	6.857457
die beschäftigten	4.985655
die beseitigung	6.857457
die bessere	6.857457
die beste	5.199229
die bestehenden	5.975068
die besten	5.248019
die bestmögliche	6.777414
die beteiligung	5.975068
die betreffenden	6.944468
die betreiber	6.569775
die betriebe	5.704777
die betroffenen	4.678924
die bevölkerung	4.947914
die bewahrung	6.777414
die bewältigung	6.703306
die bezahlbarkeit	6.944468
die bilanz	6.397925
die bilder	5.758845
die bildung	5.816003
die bis	5.731446
die bisher	5.876628
die bisherige	5.941166
die bisherigen	6.123488
die bislang	6.944468
die bitte	6.777414
die bittere	6.569775
die blockade	6.634313
die botschaft	5.535701
die branche	6.084267
die brandmauer	6.451992
die brauchen	6.703306
die breite	5.908376
die brigade	6.944468
die brücke	6.857457
die brücken	6.857457
die bund	6.857457
die bundesländer	5.876628
die bundesministerin	6.509150
die bundesnetzagentur	6.451992
die bundespolizei	5.231490
die bundesregierung	2.688211
die bundesrepublik	5.152709
die bundesverwaltung	6.857457
die bundeswehr	4.090090
die bürger	3.878532
die bürgerinnen	4.090090
die bürokratie	5.581163
die cdu	2.857728
die chance	4.538342
die chancen	5.535701
die chemische	6.777414
die coronapandemie	6.777414
die csu	6.084267
die cybersicherheit	6.634313
die da	5.281920
die dafür	5.152709
die damalige	5.908376
die damals	6.084267
die damit	5.704777
die dann	4.947914
die daran	6.346631
die darauf	6.084267
die daraus	6.857457
die darin	6.451992
die das	3.696917
die daten	6.251321
die dauer	6.397925
die dauerhafte	6.944468
die davon	6.569775
die dazu	6.206869
die ddr	6.164310
die debatte	4.236418
die debatten	5.876628
die decke	6.703306
die definition	6.634313
die deindustrialisierung	6.297841
die dekarbonisierung	6.944468
die dem	5.581163
die demografische	6.346631
die demokratie	4.325084
die demokratische	5.908376
die demokratischen	6.206869
die den	3.751377
die der	4.393604
die derzeit	6.777414
die des	6.010159
die deutlich	6.703306
die deutsch	6.703306
die deutsche	3.381358
die deutschen	4.474829
die deutschland	5.471162
die devise	6.857457
die die	2.957169
die diese	4.788487
die diesen	5.317012
die dieser	6.777414
die dieses	5.152709
die digitale	5.137671
die digitalen	6.634313
die digitalisierung	4.632833
die dinge	5.122856
die direkte	6.777414
die diskussion	5.558174
die diskussionen	6.944468
die doppelte	6.944468
die dort	5.248019
die drei	5.908376
die dringend	5.535701
die dringlichkeit	6.944468
die dritte	6.346631
die drittgrößte	6.397925
die durch	5.248019
die durchschnittliche	6.777414
die durchsetzung	6.451992
die eben	6.010159
die echten	6.451992
die ecke	5.845856
die eeg	6.857457
die effizienz	6.634313
die eh	6.944468
die ehemalige	6.569775
die ehre	6.944468
die ehrenamtlichen	6.634313
die eigene	4.697973
die eigenen	4.985655
die eigentlich	5.653484
die eigentliche	5.876628
die eigentlichen	6.509150
die ein	5.065697
die einbürgerung	6.777414
die eine	4.166214
die einen	4.799069
die einfach	6.397925
die einführung	4.820575
die einhaltung	5.941166
die einheit	6.297841
die einkommensteuer	6.777414
die einnahmen	5.372072
die einnahmeseite	6.944468
die einreise	6.046527
die einrichtung	6.084267
die einsetzung	6.509150
die einstufung	6.857457
die einzelnen	6.206869
die einzige	4.935644
die einzigen	6.251321
die elektromobilität	6.777414
die elektronische	6.569775
die eltern	6.046527
die emissionen	6.206869
die endlich	6.703306
die energie	6.397925
die energieinfrastruktur	6.944468
die energiekosten	5.975068
die energiepolitik	6.777414
die energiepreise	5.471162
die energieversorgung	6.251321
die energiewende	4.972916
die enge	6.857457
die entfernungspauschale	6.857457
die entlastung	5.335030
die entlastungen	6.944468
die entscheidende	5.816003
die entscheidenden	6.451992
die entscheidung	4.865027
die entscheidungen	5.975068
die entsprechende	6.634313
die entsprechenden	5.450543
die entwicklung	5.152709
die entwicklungen	6.944468
die entwicklungszusammenarbeit	5.704777
die er	5.604694
die erbschaftsteuer	6.297841
die erfahrung	6.569775
die erfahrungen	6.944468
die erfolge	6.703306
die erfüllung	6.944468
die ergebnisse	5.353379
die erhaltung	6.634313
die erhöhung	5.581163
die erinnerung	6.397925
die erinnerungskultur	6.944468
die erkenntnis	6.346631
die erneuerbaren	5.628791
die erst	6.857457
die erste	4.429709
die ersten	4.865027
die erteilung	6.857457
die erträge	6.944468
die erwartung	6.509150
die erwartungen	6.569775
die erweiterung	6.777414
die es	3.801100
die etwas	6.703306
die eu	3.816911
die euro	6.703306
die europäische	4.074505
die europäischen	5.628791
die existenz	6.346631
die experten	6.944468
die fahnen	6.569775
die fakten	5.604694
die falsche	5.908376
die falschen	5.758845
die familie	5.535701
die familien	5.281920
die fast	6.703306
die fdp	6.451992
die fehlende	6.569775
die fehler	6.944468
die feinde	6.164310
die feuerwehr	6.703306
die finanzen	6.569775
die finanzielle	5.535701
die finanziellen	5.199229
die finanzierung	4.490333
die finanzkontrolle	6.703306
die finger	6.509150
die firma	6.944468
die fiskalpolitische	6.944468
die fleißigen	6.634313
die fläche	6.777414
die folge	5.051904
die folgen	4.546573
die forderung	5.535701
die forderungen	6.509150
die forschung	5.391120
die fortführung	6.777414
die fortsetzung	6.123488
die fossile	6.857457
die frage	3.061968
die fragen	5.845856
die fraktion	2.535534
die fraktionen	6.569775
die frau	5.816003
die frauen	5.353379
die freie	6.084267
die freiheit	4.437089
die freiheitlich	6.777414
die freilassung	6.451992
die freiwillige	6.944468
die freiwilligendienste	6.206869
die friedliche	6.857457
die frist	6.164310
die fristen	6.634313
die frühstartrente	6.251321
die funktioniert	6.634313
die funktionsfähigkeit	6.346631
die fähigkeit	6.206869
die fälle	6.509150
die fördermittel	6.569775
die förderprogramme	6.944468
die förderung	4.522082
die fünf	6.703306
die für	4.064249
die füße	5.787015
die gak	6.509150
die ganz	5.430340
die ganze	4.267190
die ganzen	5.704777
die gar	6.451992
die gasspeicherumlage	5.941166
die gastronomie	6.634313
die geburtenstarken	6.777414
die gefahr	5.281920
die gefahren	6.569775
die geflüchteten	6.777414
die gegen	6.084267
die gegenwart	6.703306
die geiseln	6.206869
die gelder	5.471162
die gelegenheit	4.820575
die geltende	6.777414
die gemeinsame	6.123488
die gemeinschaftsaufgabe	6.703306
die genau	6.084267
die generation	6.777414
die generationen	6.857457
die geplante	6.046527
die geplanten	6.397925
die gerade	5.391120
die gerichte	5.845856
die gesamte	4.459562
die gesamten	6.857457
die gesamtgruppe	6.569775
die geschichte	5.248019
die geschäftsordnung	6.397925
die gesellschaft	4.820575
die gesellschaftliche	6.206869
die gesetze	6.451992
die gesetzlich	6.857457
die gesetzliche	4.651016
die gesetzlichen	6.010159
die gespräche	6.297841
die gesundheit	5.604694
die gesundheitsversorgung	6.569775
die gewalt	5.908376
die gewerbesteuer	6.857457
die gewerkschaften	6.346631
die gewinne	6.509150
die gewährleistung	6.777414
die gibt	6.397925
die gkv	6.251321
die glaubwürdigkeit	6.634313
die gleiche	5.581163
die gleichen	5.558174
die globale	6.164310
die globalen	6.944468
die grenze	6.046527
die grenzen	5.264826
die grenzkontrollen	6.297841
die große	4.623865
die großen	4.415110
die grundlage	4.183308
die grundlagen	5.535701
die grundrechte	6.346631
die grundsicherung	6.634313
die grundsteuer	6.634313
die grundvoraussetzung	6.857457
die gruppe	6.777414
die größte	4.273459
die größten	5.758845
die gründe	6.206869
die gründung	6.346631
die grüne	5.391120
die grünen	2.387725
die gut	6.509150
die gute	4.809764
die guten	6.046527
die haben	5.108257
die haltelinie	6.944468
die haltung	6.777414
die hamas	5.410538
die hand	4.183308
die handlungsfähigkeit	5.535701
die handschrift	6.857457
die handwerker	6.944468
die hart	6.010159
die harte	6.777414
die hat	6.634313
die haushalte	6.084267
die haushaltsberatungen	5.731446
die haushälter	6.451992
die heimat	6.857457
die heimische	6.944468
die heizung	6.569775
die herausforderung	6.703306
die herausforderungen	4.678924
die herstellung	6.777414
die heute	4.678924
die heutige	5.410538
die hier	4.132877
die hightech	5.450543
die hilfe	5.908376
die hintertür	6.634313
die hisbollah	6.634313
die historische	6.509150
die hochschulen	6.634313
die hoffnung	5.941166
die hohe	6.397925
die hohen	5.787015
die humanitäre	5.024875
die humanitären	6.944468
die huthi	6.944468
die hälfte	4.079673
die hände	5.450543
die höchste	6.346631
die höchsten	5.758845
die höhe	4.888016
die hürden	6.944468
die hütte	6.857457
die ich	4.218400
die idee	4.972916
die ihn	6.206869
die ihnen	5.317012
die ihr	5.281920
die ihre	4.651016
die ihren	6.164310
die ihrer	6.857457
die illegale	5.908376
die im	3.967085
die immer	5.264826
die in	3.092388
die industrie	4.632833
die industrielle	6.703306
die industrieproduktion	6.944468
die inflation	6.046527
die informationen	6.297841
die infrastruktur	4.365630
die initiative	5.941166
die innere	5.513722
